
PAW Database : abra.z80

Extracted by UNPAWS32 v2.1

General data
------------

Locations                           34
     LINE        000  037 
     PLOT        156  153 
     ABS MOVE    156  153 
     LINE       -006  001 
     PLOT        142  095 
     LINE        005 -001 
     LINE        004 -002 
     LINE        001 -008 
     PLOT        184  097 
     LINE        001 -006 
     PLOT        208  104 
     LINE        001 -002 
     LINE        001 -005 
     PLOT        197  103 
     LINE       -011  000 
     PLOT        179  103 
     ABS MOVE    179  103 
     LINE       -020  000 
     PLOT        154  103 
     LINE       -031  000 
     PLOT        115  103 
     LINE       -051  000 
     PLOT        054  103 
     LINE       -014  000 
     PLOT        215  106 
     LINE       -007 -001 
     PLOT        200  103 
     LINE       -015 -001 
     PLOT        178  101 
     LINE       -017 -002 
     PLOT        152  098 
     LINE       -029 -004 
     PLOT        110  092 
     LINE       -041 -005 
     PLOT        046  085 
     LINE       -006 -001 
     PLOT        087  087 
     LINE       -006  001 
     PLOT        111  160 
     LINE       -002  005 
     LINE       -004  002 
     PLOT        117  160 
     LINE       -001  004 
     LINE       -003  003 
     PLOT        125  159 
     LINE        001  004 
     LINE        003  003 
     LINE        004  001 
     PLOT        156  155 
     LINE       -002  006 
     LINE       -003  004 
     LINE       -004  002 
     PLOT        151  155 
     LINE       -002  005 
     LINE       -003  004 
     LINE       -005  003 
     PLOT        157  153 
     LINE        005  001 
     LINE       -001  001 
     LINE        001  006 
     LINE        004  004 
     LINE        007  001 
     LINE        005 -003 
     LINE        003 -004 
     LINE        002 -008 
     LINE       -004  000 
     LINE       -001  007 
     LINE       -002  003 
     LINE       -003  003 
     LINE       -005  001 
     PLOT        183  150 
     LINE        005  000 
     LINE        000  006 
     LINE        004  004 
     LINE        005  001 
     LINE        004 -002 
     LINE        002 -004 
     LINE        001 -006 
     LINE       -003 -001 
     LINE        000  005 
     LINE       -002  006 
     PLOT        204  147 
     LINE        005  001 
     PLOT        207  149 
     LINE        001  005 
     LINE        003  003 
     LINE        004  001 
     PLOT        215  098 
     LINE        000 -034 
     LINE       -143  000 
     PLOT        135  065 
     LINE       -020  002 
     LINE        038  009 
     LINE        062 -009 
     PLOT        165  080 
     LINE        050 -007 
     PLOT        167  080 
     LINE        029  006 
     LINE        019 -002 
     PLOT        215  093 
     LINE       -004  000 
     LINE       -009 -003 
     LINE        013 -002 
     FILL       -024  000 
     SHADE      -003  003  067 
     SHADE      -008 -008  067 
     SHADE      -040 -019  067 
     PLOT        096  070 
     LINE        119  000 
     PLOT        132  078 
     LINE        083  000 
     PLOT        166  086 
     LINE        049  000 
     PLOT        195  092 
     LINE        020  000 
     PLOT        145  064 
     LINE        020  005 
     PLOT        190  078 
     LINE        025  007 
     PLOT        135  070 
     LINE        025  008 
     PLOT        207  070 
     LINE        008  003 
     PLOT        197  086 
     LINE        016  005 
     PLOT        071  064 
     ABS MOVE    071  064 
     LINE       -031  000 
     LINE        000  007 
     SHADE       024  000  033 
     SHADE       071  008  018 
     SHADE       120  016  018 
     SHADE       152  024  018 
     PLOT        215  103 
     LINE        000 -005 
     PLOT        114  167 
     LINE        018  000 
     SHADE      -008 -006  018 
     PLOT        148  167 
     LINE        067  000 
     LINE        000 -008 
     PLOT        203  147 
     SHADE       003  001  018 
     SHADE      -017  008  018 
     SHADE      -048  016  018 
     FILL       -138 -064 
     FILL       -140 -052 
     PLOT        060  099 
     LINE        002  032 
     LINE       -001  028 
     LINE        001  006 
     FILL        001 -003 
     FILL        001 -012 
     SHADE      -006 -085  066 
     SHADE      -004 -072  066 
     PLOT        057  099 
     LINE        001  036 
     LINE        000  024 
     LINE       -001  006 
     SHADE       002 -001  066 
     SHADE       002 -007  066 
     PLOT        059  166 
     LINE        010 -001 
     PLOT        119  099 
     LINE        000 -002 
     PLOT        119  094 
     LINE        002 -006 
     PLOT        115  088 
     LINE        001  006 
     PLOT        116  096 
     LINE        001  002 
     PLOT        119  099 
     LINE        001  029 
     LINE       -001  023 
     FILL        001 -001 
     FILL        002 -052 
     FILL        004 -060 
     LINE        002  008 
     FILL        000 -005 
     PLOT        156  153 
     LINE        001 -004 
     LINE        001 -031 
     LINE       -001 -017 
     FILL        001  003 
     FILL        001  035 
     FILL        001  051 
     LINE       -001 -008 
     FILL        002  003 
     SHADE      -038 -002  036 
     PLOT        179  146 
     PLOT        179  147 
     PLOT        183  150 
     LINE        000 -005 
     LINE        001 -030 
     LINE       -001 -016 
     FILL        001  002 
     FILL        001  006 
     FILL        001  040 
     FILL        001  048 
     PLOT        205  147 
     LINE       -001 -045 
     FILL        001  002 
     FILL        001  007 
     PLOT        040  102 
     LINE        000 -018 
     SHADE       002  002  057 
     SHADE       030  006  057 
     LINE        000  000 
     SHADE       089  016  057 
     SHADE       123  018  057 
     SHADE       174  016  050 
     PLOT        165  164 
     LINE        008 -012 
     LINE        005 -017 
     LINE        002 -017 
     SHADE      -002  023  003 
     SHADE       009  000  003 
     PLOT        215  107 
     LINE        000  056 
     SHADE      -002 -009  003 
     PAPER       003
     REL MOVE   -002 -072 
     BLOCK       003  001  025  010 
     REL MOVE   -014 -007 
     BLOCK       002  002  022  011 
     REL MOVE   -025 -008 
     BLOCK       001  004  017  012 
     REL MOVE   -040 -008 
     BLOCK       000  001  015  013 
     BRIGHT      001
     REL MOVE   -090  010 
     BLOCK       001  008  005  012 
     REL MOVE    026  004 
     BLOCK       001  008  008  011 
     REL MOVE    053  007 
     BLOCK       001  004  015  010 
     REL MOVE    041  005 
     BLOCK       000  002  020  010 
     REL MOVE    024  006 
     BLOCK       000  003  023  009 
     ABS MOVE    215  163 
     PAPER       005
     BRIGHT      000
     BLOCK       007  021  005  001 
     REL MOVE   -173 -062 
     BRIGHT      001
     BLOCK       002  002  005  009 
     REL MOVE    025  000 
     BLOCK       001  006  008  009 
     REL MOVE    058 -001 
     BLOCK       000  007  015  009 
     END

Location   3 graphics flags: Subroutine. Ink=7 Paper=1 Bit6=0
     GOSUB    sc=000  001 
     INK         002
     PLOT        114  159 
     LINE       -003 -011 
     LINE       -006 -008 
     LINE       -008 -009 
     LINE       -014 -011 
     LINE       -011 -007 
     LINE        003 -031 
     LINE        001 -011 
     LINE       -012 -001 
     LINE       -012  001 
     PLOT        114  158 
     LINE        005 -009 
     LINE        006 -008 
     LINE        014 -014 
     LINE        011 -008 
     LINE        018 -007 
     LINE       -001 -040 
     LINE        011 -002 
     LINE        013  001 
     LINE        009  001 
     LINE       -008  038 
     LINE       -001  005 
     LINE        002  001 
     LINE       -006  006 
     LINE       -003 -001 
     LINE       -001  004 
     LINE       -004  001 
     LINE       -005  005 
     LINE       -006  010 
     LINE       -004  009 
     LINE       -003  011 
     LINE       -001  006 
     PLOT        051  071 
     LINE        001  017 
     LINE       -001  020 
     LINE       -005  002 
     LINE        003  007 
     LINE        008  008 
     LINE        010  012 
     LINE        007  011 
     LINE        003  010 
     LINE        002  009 
     PLOT        199  080 
     INK         000
     PAPER       002
     LINE        000  047 
     LINE       -008  000 
     LINE        000  008 
     LINE       -016  000 
     LINE        000  024 
     LINE       -008  000 
     LINE        000  008 
     LINE       -007  000 
     FILL        002 -002 
     PLOT        084  167 
     LINE       -028  000 
     LINE        000 -032 
     LINE       -016  000 
     LINE        000 -063 
     LINE        011  000 
     FILL       -002  002 
     BLOCK       007  003  006  005 
     ABS MOVE    067  136 
     BLOCK       003  005  008  001 
     ABS MOVE    115  165 
     BLOCK       001  000  014  001 
     ABS MOVE    121  161 
     BLOCK       003  006  015  001 
     ABS MOVE    148  132 
     BLOCK       002  004  018  005 
     ABS MOVE    175  108 
     BLOCK       004  003  021  008 
     ABS MOVE    087  132 
     PAPER       000
     INK         002
     PLOT        070  071 
     LINE       -016  000 
     PLOT        176  071 
     LINE        008  000 
     ABS MOVE    170  161 
     PLOT        119  151 
     LINE        000 -002 
     INK         000
     PAPER       002
     PLOT        169  112 
     LINE        005 -001 
     LINE        010  001 
     LINE        004  001 
     PLOT        169  111 
     LINE        011 -001 
     LINE        005  001 
     PLOT        174  112 
     LINE       -012  006 
     LINE       -009  005 
     LINE       -006  005 
     LINE       -007  011 
     LINE       -003  008 
     LINE        006 -012 
     LINE        008 -010 
     LINE        006 -003 
     LINE        007 -004 
     LINE        008 -003 
     LINE        003 -003 
     PLOT        183  112 
     LINE       -008  006 
     LINE       -009  012 
     PLOT        179  115 
     LINE       -003  010 
     PLOT        174  110 
     LINE        001 -038 
     PLOT        195  072 
     LINE       -010  040 
     PLOT        071  113 
     LINE       -009 -002 
     LINE       -011  000 
     LINE        004 -002 
     LINE        005  001 
     LINE        011  002 
     PLOT        066  111 
     LINE        003 -016 
     PLOT        066  110 
     LINE       -003 -020 
     PLOT        064  100 
     LINE       -004 -008 
     PLOT        063  112 
     LINE       -002  009 
     PLOT        064  111 
     PLOT        077  072 
     LINE        002  000 
     LINE        000  040 
     LINE        008  000 
     LINE        000  008 
     LINE        008  000 
     LINE        000  008 
     LINE        008  000 
     LINE        000  008 
     LINE        008  000 
     LINE        000  008 
     LINE        009  000 
     LINE        000 -008 
     LINE        008  000 
     LINE        000 -008 
     LINE        008  000 
     LINE        000 -008 
     LINE        008  000 
     LINE        000 -008 
     LINE        024  000 
     FILL       -022  002 
     FILL       -033  017 
     FILL       -046  029 
     FILL       -058  025 
     FILL       -088  002 
     FILL       -070  017 
     LINE        004  000 
     LINE        012  000 
     LINE        005  002 
     PLOT        094  147 
     LINE       -007 -016 
     LINE       -009 -008 
     LINE       -006 -010 
     PLOT        071  072 
     LINE       -003  018 
     PLOT        058  072 
     LINE        001  019 
     PLOT        067  110 
     LINE        003 -013 
     PLOT        071  129 
     LINE        005  003 
     LINE        004  004 
     LINE        006  009 
     LINE        006  007 
     LINE        005  004 
     LINE        004  006 
     PLOT        113  160 
     LINE       -001  005 
     PLOT        124  167 
     LINE        001 -004 
     LINE        004 -005 
     LINE        002 -002 
     PLOT        188  114 
     LINE        003  000 
     SHADE       000 -005  000 
     PLOT        059  091 
     LINE       -002  018 
     LINE       -005 -001 
     SHADE       003 -003  000 
     PLOT        053  111 
     LINE        005  009 
     LINE        002  009 
     SHADE      -005 -009  000 
     PLOT        066  145 
     LINE        005  007 
     LINE        003  009 
     SHADE      -004 -005  000 
     PLOT        178  125 
     LINE        004 -008 
     LINE        005 -004 
     SHADE       000  002  000 
     PLOT        159  167 
     LINE       -007  000 
     LINE        003 -010 
     LINE        004 -006 
     LINE        007 -007 
     SHADE      -004  006  000 
     INK         000
     PAPER       006
     PLOT        148  072 
     LINE       -011  001 
     PLOT        137  072 
     LINE        001  016 
     PLOT        148  073 
     LINE        000  019 
     LINE       -002  003 
     LINE        021  006 
     LINE        000 -024 
     LINE       -004 -003 
     LINE       -007 -001 
     LINE       -007 -001 
     SHADE       002  001  000 
     PLOT        137  073 
     LINE       -012  001 
     PLOT        126  088 
     LINE       -001 -015 
     PLOT        124  075 
     LINE       -012  001 
     PLOT        112  075 
     LINE        001  015 
     PLOT        112  077 
     LINE       -011  001 
     PLOT        101  077 
     LINE        001  016 
     PLOT        100  078 
     LINE       -011  002 
     PLOT        090  079 
     LINE        001  013 
     PLOT        089  080 
     LINE       -007  001 
     LINE        000  017 
     LINE        001  003 
     LINE        004  001 
     LINE        016 -002 
     PLOT        145  095 
     LINE       -025  002 
     PLOT        088  103 
     LINE        042  001 
     PLOT        128  103 
     LINE        002  003 
     LINE        007  004 
     LINE        014  000 
     LINE        016 -001 
     LINE       -002 -006 
     LINE       -005 -003 
     LINE       -003  001 
     PLOT        158  100 
     LINE       -010  001 
     LINE       -009  001 
     LINE       -009  001 
     PLOT        156  109 
     LINE        002 -003 
     LINE       -002 -005 
     SHADE       004  003  000 
     FILL        011  002 
     LINE       -004 -002 
     LINE       -009 -001 
     LINE       -013 -001 
     SHADE       016 -001  000 
     ABS MOVE    130  095 
     ABS MOVE    130  087 
     ABS MOVE    106  087 
     ABS MOVE    106  089 
     ABS MOVE    116  099 
     PLOT        136  095 
     LINE        005 -003 
     LINE        003 -005 
     LINE        003 -014 
     SHADE       000  005  000 
     PLOT        141  074 
     LINE       -002  009 
     FILL        000 -004 
     PLOT        127  083 
     LINE        001 -005 
     LINE        003 -004 
     FILL       -003  001 
     PLOT        116  076 
     LINE       -002  007 
     FILL        000 -003 
     PLOT        105  079 
     LINE       -002  007 
     FILL        000 -003 
     PLOT        093  080 
     LINE       -001  006 
     FILL       -001 -002 
     PLOT        120  101 
     PLOT        125  102 
     LINE        004 -001 
     LINE        002 -001 
     ABS MOVE    083  076 
     PAPER       002
     ABS MOVE    091  148 
     INK         006
     PAPER       002
     ABS MOVE    152  112 
     ABS MOVE    147  117 
     ABS MOVE    142  121 
     ABS MOVE    145  120 
     ABS MOVE    075  101 
     BLOCK       003  000  009  009 
     ABS MOVE    075  105 
     ABS MOVE    115  151 
     ABS MOVE    115  154 
     ABS MOVE    110  140 
     ABS MOVE    110  144 
     ABS MOVE    122  143 
     ABS MOVE    122  145 
     ABS MOVE    129  133 
     ABS MOVE    129  136 
     ABS MOVE    137  128 
     BLOCK       002  005  012  005 
     ABS MOVE    115  137 
     ABS MOVE    103  137 
     ABS MOVE    089  121 
     ABS MOVE    095  128 
     ABS MOVE    084  117 
     ABS MOVE    086  121 
     ABS MOVE    077  113 
     ABS MOVE    090  113 
     ABS MOVE    162  113 
     PAPER       006
     INK         000
     ABS MOVE    085  107 
     BLOCK       000  002  010  008 
     PLOT        081  087 
     ABS MOVE    089  113 
     BLOCK       000  006  011  007 
     ABS MOVE    134  121 
     BLOCK       000  004  012  006 
     ABS MOVE    118  137 
     ABS MOVE    118  133 
     ABS MOVE    121  133 
     ABS MOVE    107  133 
     LINE        000  000 
     LINE        000  000 
     INK         002
     ABS MOVE    043  067 
     BLOCK       000  021  005  013 
     INK         000
     PLOT        135  127 
     LINE        000 -018 
     LINE        000  000 
     PLOT        131  107 
     LINE       -019  000 
     LINE        000 -003 
     PLOT        119  108 
     LINE        005  000 
     PLOT        121  109 
     LINE        000  002 
     PLOT        122  111 
     LINE        000 -003 
     LINE       -006  003 
     PLOT        122  109 
     LINE        005  002 
     PLOT        111  133 
     LINE       -016 -016 
     PLOT        103  122 
     LINE       -013 -013 
     PLOT        096  112 
     LINE        014  014 
     PLOT        106  113 
     LINE       -005 -005 
     INK         007
     PLOT        126  118 
     LINE        000 -006 
     LINE        001  000 
     LINE        000  007 
     PLOT        122  112 
     LINE        000  007 
     LINE       -001  000 
     LINE        000 -007 
     PLOT        116  112 
     LINE        000  005 
     LINE        001  000 
     LINE        000 -005 
     INK         002
     PLOT        116  120 
     LINE        001  002 
     PLOT        121  121 
     LINE        001  002 
     PLOT        121  123 
     LINE        001  002 
     PLOT        126  120 
     LINE        001  001 
     LINE       -001  001 
     PAPER       002
     INK         006
     PLOT     i  135  128 
     LINE     i  000  003 
     PLOT     i  079  087 
     LINE     i -005  000 
     END

Location   4 graphics flags: Subroutine. Ink=7 Paper=1 Bit6=0

Location   5 graphics flags: Subroutine. Ink=7 Paper=1 Bit6=0

Location   6 graphics flags: Picture.    Ink=7 Paper=0 Bit6=0
     GOSUB    sc=000  002 
     END

Location   7 graphics flags: Subroutine. Ink=7 Paper=1 Bit6=0

Location   8 graphics flags: Subroutine. Ink=7 Paper=1 Bit6=0

Location   9 graphics flags: Subroutine. Ink=7 Paper=1 Bit6=0

Location  10 graphics flags: Picture.    Ink=7 Paper=0 Bit6=0
     GOSUB    sc=000  001 
     PLOT        168  065 
     LINE       -032  030 
     LINE        000  072 
     PLOT        215  086 
     LINE       -078  046 
     LINE       -002 -005 
     LINE        080 -046 
     PLOT        215  090 
     LINE       -072  042 
     LINE       -006  000 
     PLOT        143  133 
     LINE        000  034 
     PLOT        132  167 
     LINE        000 -071 
     LINE        004  000 
     LINE       -095 -001 
     PLOT        164  068 
     LINE       -124 -003 
     PLOT        136  095 
     LINE        000 -003 
     LINE       -096 -002 
     PLOT        040  083 
     LINE        107  002 
     LINE        000 -006 
     LINE       -107 -002 
     PLOT        147  078 
     LINE        018 -010 
     PLOT        146  084 
     LINE       -009  007 
     PLOT        164  068 
     LINE        000 -004 
     PLOT        144  132 
     LINE        030  035 
     PLOT        178  167 
     LINE       -031 -037 
     PLOT        046  094 
     LINE        000 -004 
     LINE        002 -007 
     LINE        000 -006 
     LINE        002 -012 
     LINE        000 -001 
     PLOT        144  064 
     LINE        000  005 
     LINE       -007  010 
     LINE       -001  006 
     LINE       -008  007 
     LINE       -001  003 
     PLOT        140  123 
     LINE        000 -003 
     LINE        005 -004 
     LINE        000  005 
     PLOT        145  116 
     LINE        005  001 
     PLOT        143  117 
     LINE       -002 -008 
     LINE        000 -009 
     LINE        002 -007 
     LINE       -003  000 
     LINE        005 -004 
     PLOT        199  089 
     LINE        000 -005 
     LINE        007 -004 
     LINE        000  006 
     PLOT        206  080 
     LINE        007  001 
     PLOT        203  081 
     LINE       -002 -007 
     LINE       -001 -010 
     PLOT        212  080 
     LINE        001 -010 
     LINE        001 -006 
     PLOT        184  098 
     LINE        000 -007 
     LINE        007 -004 
     LINE        000  007 
     PLOT        191  088 
     LINE        007  002 
     PLOT        188  089 
     LINE       -002 -009 
     LINE       -001 -007 
     LINE        002 -009 
     PLOT        195  088 
     LINE        001 -009 
     LINE        001 -007 
     LINE       -002 -008 
     PLOT        171  105 
     LINE        000 -006 
     LINE        006 -004 
     LINE        000  007 
     PLOT        177  096 
     LINE        007  002 
     PLOT        174  097 
     LINE       -002 -009 
     LINE       -001 -009 
     LINE        002 -012 
     PLOT        173  069 
     LINE       -004 -001 
     LINE        005 -004 
     PLOT        181  096 
     LINE        001 -012 
     LINE       -002 -017 
     PLOT        181  068 
     LINE        003 -002 
     LINE       -006 -002 
     PLOT        170  067 
     LINE        000 -003 
     PLOT        159  112 
     LINE        000 -006 
     LINE        006 -002 
     LINE        000  005 
     PLOT        165  105 
     LINE        005  000 
     PLOT        162  105 
     LINE       -002 -013 
     LINE        002 -018 
     PLOT        168  104 
     LINE        002 -014 
     LINE       -002 -016 
     PLOT        162  076 
     LINE       -003  000 
     LINE        007 -005 
     LINE        000 -002 
     LINE        000  002 
     LINE        005  001 
     LINE       -003  003 
     PLOT        151  117 
     LINE        000 -005 
     LINE        004 -003 
     LINE        001  005 
     PLOT        156  110 
     LINE        003  000 
     PLOT        152  111 
     LINE       -001 -017 
     LINE        002 -012 
     PLOT        158  110 
     LINE        002 -012 
     LINE       -002 -016 
     PLOT        153  084 
     LINE       -003  000 
     LINE        005 -005 
     LINE        006  001 
     PLOT        148  116 
     LINE        001 -011 
     LINE       -001 -013 
     PLOT        145  089 
     LINE        006  001 
     PLOT        147  089 
     LINE        000 -003 
     PAPER       007
     INK         000
     BRIGHT      001
     ABS MOVE    047  162 
     BLOCK       012  021  005  001 
     PLOT        168  064 
     LINE       -004  000 
     FILL        001  001 
     FILL       -009  011 
     FILL       -025  026 
     FILL       -020  023 
     PLOT        208  080 
     LINE        001 -010 
     LINE       -001 -006 
     LINE        005  000 
     FILL       -001  001 
     FILL       -004  018 
     PLOT        192  087 
     LINE        001 -014 
     LINE       -001 -009 
     LINE        002  000 
     FILL        000  001 
     FILL        000  027 
     PLOT        184  065 
     LINE        000 -001 
     LINE       -004  002 
     LINE       -003 -001 
     LINE        001  016 
     LINE        000  015 
     FILL        001 -002 
     FILL        000  003 
     FILL       -010  010 
     PLOT        166  104 
     LINE        001 -018 
     LINE       -002 -012 
     LINE        003 -001 
     FILL       -002  003 
     PLOT        158  081 
     LINE       -002  000 
     LINE        001  023 
     LINE       -001  006 
     FILL        001  001 
     FILL        002 -010 
     FILL       -009  009 
     PLOT        146  116 
     LINE        001 -014 
     LINE       -001 -011 
     LINE        002  000 
     FILL       -001  001 
     FILL        000  012 
     PLOT        137  095 
     LINE        005  000 
     SHADE      -003  003  000 
     PLOT        142  167 
     LINE       -005  000 
     SHADE       000 -002  000 
     PLOT        148  129 
     PLOT        202  097 
     LINE        002 -004 
     LINE        002 -007 
     PLOT        215  082 
     LINE        000  008 
     FILL       -008 -002 
     FILL       -008  003 
     SHADE      -020  010  000 
     PLOT        175  114 
     PLOT        208  167 
     LINE       -039 -049 
     PLOT        175  114 
     LINE        040  050 
     LINE        000  003 
     LINE       -006  000 
     SHADE       000 -003  000 
     PLOT        211  166 
     LINE       -040 -050 
     PLOT        150  132 
     LINE       -001 -003 
     PLOT        152  135 
     LINE        001 -009 
     PLOT        155  139 
     LINE       -001 -014 
     PLOT        158  142 
     LINE        002 -014 
     LINE        000 -006 
     PLOT        163  148 
     LINE       -001 -013 
     LINE        001 -014 
     PLOT        167  153 
     LINE        001 -015 
     LINE       -001 -020 
     PLOT        172  159 
     LINE       -001 -016 
     LINE        002 -019 
     PLOT        176  129 
     LINE        002  018 
     LINE       -003  017 
     PLOT        180  167 
     LINE       -001 -014 
     LINE        002 -018 
     PLOT        185  140 
     LINE        001  015 
     LINE       -001  012 
     PLOT        191  167 
     LINE       -001 -010 
     LINE        001 -010 
     PLOT        195  152 
     LINE        001  012 
     LINE       -001  003 
     PLOT        200  167 
     LINE        001 -007 
     PLOT        157  141 
     LINE        001 -018 
     PLOT        164  150 
     LINE        002 -014 
     LINE       -001 -017 
     PLOT        174  126 
     LINE        001  020 
     LINE       -001  016 
     PLOT        184  167 
     LINE       -002  000 
     LINE        002 -016 
     LINE       -001 -014 
     PLOT        193  150 
     LINE        001  017 
     PLOT        207  167 
     LINE       -003  000 
     LINE        000 -004 
     FILL        001  001 
     FILL       -008  000 
     FILL       -009  000 
     FILL       -019 -004 
     FILL       -020 -020 
     FILL       -028 -010 
     FILL       -038 -013 
     FILL       -038 -039 
     FILL       -045 -033 
     FILL       -046 -026 
     PLOT        144  134 
     LINE        029  033 
     PLOT        215  163 
     LINE        000 -099 
     SHADE      -008  040  085 
     PLOT        187  089 
     LINE        000 -004 
     PAPER       002
     ABS MOVE    042  093 
     BLOCK       003  011  005  010 
     ABS MOVE    137  092 
     BLOCK       003  000  017  010 
     ABS MOVE    147  066 
     BLOCK       000  002  018  013 
     ABS MOVE    150  074 
     ABS MOVE    145  081 
     ABS MOVE    154  072 
     PLOT        163  064 
     LINE       -018  000 
     SHADE       002  002  017 
     SHADE      -003  019  017 
     SHADE      -012  029  017 
     PLOT        040  064 
     LINE        000  031 
     SHADE       003 -002  017 
     SHADE       002 -014  017 
     SHADE       004 -009  017 
     SHADE       003 -020  017 
     SHADE       096 -007  017 
     SHADE       108 -024  017 
     BRIGHT      000
     PAPER       007
     ABS MOVE    211  159 
     BLOCK       008  001  025  002 
     ABS MOVE    196  138 
     BLOCK       005  000  024  004 
     ABS MOVE    189  129 
     BLOCK       003  000  023  005 
     ABS MOVE    181  118 
     ABS MOVE    182  120 
     BRIGHT      001
     PLOT        061  162 
     LINE        046 -002 
     PLOT        106  161 
     LINE       -045  002 
     PLOT        062  162 
     LINE        002 -052 
     LINE        041  001 
     LINE       -002  048 
     LINE       -006 -001 
     LINE       -004  002 
     LINE       -006 -001 
     LINE       -004  001 
     LINE       -005 -001 
     LINE       -004  001 
     LINE       -006 -001 
     LINE       -004  003 
     PLOT        063  159 
     LINE        000 -011 
     PLOT        064  111 
     LINE        024  000 
     PLOT        104  112 
     LINE        000  014 
     PLOT        071  152 
     LINE        001 -033 
     LINE        024  001 
     LINE        000  031 
     LINE       -024  001 
     PAPER       003
     ABS MOVE    066  158 
     BLOCK       005  004  008  002 
     PAPER       004
     ABS MOVE    074  150 
     BLOCK       003  002  009  003 
     PLOT        074  151 
     PLOT        075  150 
     PLOT        074  148 
     PLOT        075  147 
     PLOT        075  146 
     PLOT        074  145 
     PLOT        075  143 
     PLOT        082  151 
     PLOT        083  149 
     PLOT        082  148 
     PLOT        083  147 
     PLOT        082  145 
     PLOT        083  144 
     PLOT        091  150 
     PLOT        092  149 
     PLOT        091  148 
     PLOT        092  146 
     PLOT        091  145 
     PLOT        092  143 
     PLOT        078  143 
     LINE        000 -004 
     LINE        003 -002 
     LINE        000 -005 
     LINE       -003 -003 
     LINE        000 -003 
     LINE        012  001 
     LINE        000  003 
     LINE       -002  002 
     LINE        000  005 
     LINE        002  001 
     LINE        001  005 
     LINE       -003  000 
     LINE       -001 -002 
     LINE       -002  000 
     LINE        000  003 
     LINE       -003  000 
     LINE        000 -003 
     LINE       -001  000 
     LINE       -001  003 
     LINE       -003  000 
     SHADE       006 -006  000 
     PAPER       003
     PLOT        076  118 
     PLOT        075  117 
     PLOT        076  115 
     PLOT        076  113 
     PLOT        088  119 
     LINE       -001 -005 
     PLOT        094  112 
     PLOT        095  113 
     PLOT        094  115 
     PLOT        095  117 
     PLOT        103  133 
     PLOT        102  134 
     PLOT        103  136 
     PLOT        103  138 
     PLOT        103  140 
     PLOT        102  141 
     PLOT        103  142 
     PAPER       007
     PLOT        058  167 
     LINE       -008 -006 
     LINE       -004 -007 
     LINE       -003 -013 
     LINE       -003 -022 
     LINE        000  048 
     LINE        017  000 
     SHADE      -002 -001  000 
     PLOT        040  098 
     LINE        091  001 
     PLOT        107  099 
     LINE        000 -002 
     PLOT        067  097 
     LINE        000 -001 
     PLOT        065  109 
     LINE        000 -003 
     PLOT        067  109 
     LINE        000 -002 
     PLOT        069  109 
     LINE        000 -003 
     PLOT        071  109 
     LINE        000 -001 
     PLOT        073  109 
     LINE        000 -002 
     PLOT        075  109 
     LINE        000 -001 
     PLOT        077  109 
     LINE        000 -001 
     PLOT        079  109 
     LINE        000 -002 
     PLOT        081  109 
     PLOT        081  107 
     PLOT        083  109 
     LINE        000 -001 
     PLOT        086  110 
     LINE        000 -001 
     PLOT        088  110 
     LINE        000 -002 
     PLOT        090  110 
     LINE        000 -003 
     PLOT        092  110 
     LINE        000 -002 
     PLOT        094  110 
     LINE        000 -001 
     PLOT        096  110 
     LINE        000 -001 
     PLOT        098  110 
     LINE        000 -002 
     PLOT        100  110 
     LINE        000 -001 
     PLOT        102  110 
     LINE        000 -001 
     PLOT        104  110 
     LINE        000 -002 
     END

Location  11 graphics flags: Picture.    Ink=7 Paper=0 Bit6=0
     GOSUB    sc=000  010 
     PAPER       005
     ABS MOVE    042  094 
     BLOCK       003  012  005  010 
     ABS MOVE    149  084 
     BLOCK       002  000  018  011 
     ABS MOVE    157  069 
     BLOCK       001  000  019  012 
     BLOCK       000  001  019  013 
     END

Location  12 graphics flags: Subroutine. Ink=7 Paper=1 Bit6=0

Location  13 graphics flags: Subroutine. Ink=7 Paper=1 Bit6=0
     GOSUB    sc=000  001 
     PLOT        055  065 
     LINE        000  102 
     LINE        016  000 
     LINE        000 -095 
     LINE       -015 -007 
     PLOT        071  072 
     LINE        113  000 
     LINE        000  095 
     LINE        015  000 
     LINE        000 -103 
     LINE       -015  008 
     PLOT        072  073 
     LINE        023  022 
     LINE        064  000 
     LINE        026 -023 
     PLOT        096  096 
     LINE       -025  065 
     PLOT        158  096 
     LINE        026  063 
     FILL       -032 -072 
     PLOT        200  064 
     LINE        015  000 
     LINE        000  103 
     LINE       -016  000 
     PLOT        055  167 
     LINE       -015  000 
     LINE        000 -103 
     LINE        014  000 
     SHADE      -008  016  000 
     SHADE       152  008  000 
     PAPER       006
     INK         000
     BLOCK       012  001  005  001 
     ABS MOVE    201  164 
     BLOCK       012  001  025  001 
     BRIGHT      001
     ABS MOVE    190  164 
     BLOCK       012  001  023  001 
     ABS MOVE    061  164 
     BLOCK       012  001  007  001 
     ABS MOVE    061  068 
     BLOCK       000  016  007  013 
     PLOT        185  089 
     LINE        014 -003 
     PLOT        185  110 
     LINE        013 -001 
     PLOT        185  130 
     LINE        013  000 
     PLOT        185  151 
     LINE        013  001 
     PLOT        070  089 
     LINE       -014 -003 
     PLOT        070  108 
     LINE       -014 -001 
     PLOT        070  128 
     LINE       -014  000 
     PLOT        070  148 
